step,mreturn
500,-1243.99729377421
1000,-1410.1258362497597
1500,-1706.6692794956284
2000,-1555.4048685607436
2500,-1450.0994454681204
3000,-1338.9592365920673
3500,-1327.9573482693509
4000,-1272.120432077581
4500,-1210.9412964084338
5000,-1097.2860521517048
5500,-1173.7170420911214
6000,-1176.5386198561248
6500,-1049.602047554258
7000,-653.4884424661061
7500,-381.62726684880954
8000,-330.0728990964627
8500,-381.51529758175525
9000,-150.6389157110548
9500,-169.49795921974183
10000,-190.17575213328615
10500,-136.84919134681144
11000,-220.34091293476726
11500,-101.4633871022975
12000,-139.7977760966658
12500,-171.83068538950326
13000,-125.26396974862487
13500,-158.40549001410395
14000,-158.81260983846659
14500,-159.04241879445095
15000,-187.79188503626284
